,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10605,1990,Daddy's Dyin': Who's Got the Will?,American,"['New', ' Beer', ' Tea', ' Comfort', ' Personal', ' Small', ' Local', ' Bar', ' bar', ' Music', ' Pub', ' Country', ' Room', ' Kitchen', ' Day', ' Adult', ' Family']",[],"['New', ' Beer', ' Tea', ' Comfort', ' Personal', ' Small', ' Local', ' Bar', ' bar', ' Music', ' Pub', ' Country', ' Room', ' Kitchen', ' Day', ' Adult', ' Family']",,,,
10606,1990,Dances with Wolves,American,"['American', ' Tea', ' Stands', ' Bar', ' bar', ' Pan', ' Latin', ' Style', ' Guest', ' Family']",['romantic'],"['American', ' Tea', ' Stands', ' Bar', ' bar', ' Pan', ' Latin', ' Style', ' Guest', ' Family', ' romantic']","['Adventure', 'Drama', 'Western']",8,"['friendship', 'frontier', 'honor', 'outpost', 'soldier']",
10607,1990,Darkman,American,"['New', ' Tea', ' Comfort', ' Fusion', ' Pita']",[],"['New', ' Tea', ' Comfort', ' Fusion', ' Pita']",,,,
10608,1990,Daughter of Darkness,American,['Raw'],[],['Raw'],,,,
10609,1990,Days of Thunder,American,"['New', ' Tea', ' Indian', ' Bar', ' bar', ' Health', ' Pan', ' Day', ' Oil', ' Pita']",['romantic'],"['New', ' Tea', ' Indian', ' Bar', ' bar', ' Health', ' Pan', ' Day', ' Oil', ' Pita', ' romantic']","['Action', 'Drama', 'Sport']",5.9,"['driver', 'hot shot', 'racing', 'stock car driver', 'team']",
10610,1990,Death Machine,American,"['New', ' Tea', ' Personal', ' Pan', ' Pub', ' Store', ' Outdoor']",[],"['New', ' Tea', ' Personal', ' Pan', ' Pub', ' Store', ' Outdoor']",,,,
10611,1990,Decoration Day,American,"['Personal', ' Day']",['romantic'],"['Personal', ' Day', ' romantic']",,,,
10612,1990,Def by Temptation,American,"['New', ' Local', ' Bar', ' bar']",[],"['New', ' Local', ' Bar', ' bar']",,,,
10613,1990,Delta Force 2: The Colombian Connection,American,"['American', ' Wings', ' Tea', ' Personal', ' Poke', ' Pan', ' Country', ' Colombian', ' Store', ' South', ' Family']",[],"['American', ' Wings', ' Tea', ' Personal', ' Poke', ' Pan', ' Country', ' Colombian', ' Store', ' South', ' Family']",,,,
10614,1990,Desperate Hours,American,"['Tea', ' Small', ' Bar', ' bar', ' Room', ' Kids', ' Family']",['intimate'],"['Tea', ' Small', ' Bar', ' bar', ' Room', ' Kids', ' Family', ' intimate']",,,,
10615,1990,Dick Tracy,American,"['New', ' Tea', ' Street', ' Small', ' Raw', ' Day', ' Oil', ' Honey']",[],"['New', ' Tea', ' Street', ' Small', ' Raw', ' Day', ' Oil', ' Honey']","['Action', 'Comedy', 'Crime', 'Music', 'Romance', 'Thriller']",6.1,"['crime boss', 'detective', 'dick tracy', 'gangster', 'orphan']",
