,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10701,1990,Mr. Destiny,American,"['New', ' Tea', ' Japanese', ' Bar', ' bar', ' Pan', ' Pub', ' Dinner', ' Room', ' Day', ' Restaurant', ' Family']",[],"['New', ' Tea', ' Japanese', ' Bar', ' bar', ' Pan', ' Pub', ' Dinner', ' Room', ' Day', ' Restaurant', ' Family']",,,,
10702,1990,Mr. and Mrs. Bridge,American,"['Traditional', ' New', ' Modern', ' Country', ' Family']",[],"['Traditional', ' New', ' Modern', ' Country', ' Family']",,,,
10703,1990,My Blue Heaven,American,"['Bar', ' bar', ' Style']",[],"['Bar', ' bar', ' Style']",,,,
10704,1990,Narrow Margin,American,['Canadian'],[],['Canadian'],,,,
10705,1990,Navy SEALs,American,"['Lebanese', ' Pizza', ' Fish', ' Tea', ' Small', ' Local', ' Mediterranean', ' Bar', ' bar', ' Egyptian', ' Dinner', ' Room', ' Day', ' Water']",[],"['Lebanese', ' Pizza', ' Fish', ' Tea', ' Small', ' Local', ' Mediterranean', ' Bar', ' bar', ' Egyptian', ' Dinner', ' Room', ' Day', ' Water']",,,,
10706,1990,The NeverEnding Story II: The Next Chapter,American,"['New', ' Tea', ' Fusion', ' Bar', ' bar', ' Reunion', ' Room', ' Store', ' Water']",[],"['New', ' Tea', ' Fusion', ' Bar', ' bar', ' Reunion', ' Room', ' Store', ' Water']",,,,
10707,1990,Night Eyes,American,['Pan'],[],['Pan'],,,,
10708,1990,Night of the Living Dead,American,"['Fish', ' Local', ' Bar', ' bar', ' Country', ' Day']",[],"['Fish', ' Local', ' Bar', ' bar', ' Country', ' Day']","['Drama', 'Horror', 'Mystery']",8,"['cemetery', 'farmhouse', 'radiation', 'running out of gas', 'zombie']",
10710,1990,Nightbreed,American,"['New', ' Tea', ' Stands', ' Bar', ' Hotel', ' bar', ' German', ' Raw', ' Pita']",[],"['New', ' Tea', ' Stands', ' Bar', ' Hotel', ' bar', ' German', ' Raw', ' Pita']",,,,
10711,1990,"No Retreat, No Surrender 3: Blood Brothers",American,"['Tea', ' International', ' Bar', ' bar', ' Indoor', ' Colombian', ' Cake', ' Day']",[],"['Tea', ' International', ' Bar', ' bar', ' Indoor', ' Colombian', ' Cake', ' Day']",,,,
10712,1990,The Nutcracker Prince,American,"['German', ' Pan', ' Cheese', ' Room', ' Raw', ' Cake', ' Day', ' Christmas', ' Special', ' Family']",['romantic'],"['German', ' Pan', ' Cheese', ' Room', ' Raw', ' Cake', ' Day', ' Christmas', ' Special', ' Family', ' romantic']",,,,
10713,1990,Pacific Heights,American,"['New', ' Personal', ' Japanese', ' Bar', ' Hotel', ' bar', ' Pan', ' Room', ' Raw', ' Day', ' Oil', ' Water', ' Pita', ' Family']",[],"['New', ' Personal', ' Japanese', ' Bar', ' Hotel', ' bar', ' Pan', ' Room', ' Raw', ' Day', ' Oil', ' Water', ' Pita', ' Family']",,,,
10714,1990,The Pit and the Pendulum,American,"['New', ' Pub', ' Family']",[],"['New', ' Pub', ' Family']",,,,
10715,1990,Plunder & Lightning,American,"['New', ' Tea', ' Bar', ' Delivery', ' bar', ' Pan', ' Custom', ' Room', ' Day', ' Store', ' Oil', ' Water']",[],"['New', ' Tea', ' Bar', ' Delivery', ' bar', ' Pan', ' Custom', ' Room', ' Day', ' Store', ' Oil', ' Water']",,,,
